Timestamp,study,Journal,Study #,Start Date,End Date,Country,Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,ARDS (n),Mechanical Ventilation (n),ICU (n),Smokers (n),COPD (n),Cardiovascular disease (n),Diabetes (n),Testing,Method,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site,patients,Type,coinfection,secondary_infection,Were bacteria names specified?,Mycoplasm,Chlamydia,S aureus,S pneumo,Enterococcus faecium species?,Haemophilus species?,Pseudomonas,Klebsiella,E. coli,Acinetobacter,Enterobacter,Enterococcus spp,CNST,Citrobacter,Moraxella ,Stenotrophomonas,Serratia,Strep non-pna,Legionella,Proteus spp.,Other GN,Other GP,Other not reported,Other bacteria and their numbers?,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the studys target population a close representation of the national population in relation to relevant variables?,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3: Was some form of random selection used to select the sample, OR was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,quality score,bias,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),Measured both CoI and Secondary?,Number of Other immunomodulators?
From 1st review entered June 9 2021,"Wu J, 2020 (2)",Clinical Infectious Diseases,80,22/01/2020,14/02/2020,China,Asia,Retrospective Cohort,Hospital,80,,46.1,Mean,41,All,,0,0,,0,25,,specified,culture,"Nine kinds of respiratory pathogens and influenza A and B nucleic acids were examined in all patients, and bacteria and fungi were cultured simutaneously.",N,Respiratory,80,Not-specified,0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,12,,80,Yes,Yes,No or unclear,No or unclear,Yes,Yes,Yes,No or unclear,Yes,Yes,7,moderate,Yes,,
From 1st review entered June 9 2021,"Liu W, 2020",Chinese medical journal,82,30/12/2019,15/01/2020,China,Asia,Retrospective Cohort,Hospital,78,,38,Median,39,All,,5,,5,2,,5,specified,nucleic acid amplification,"RT-PCR of samples collected by using nasopharyngeal swabs. Influenza A virus, influenza B virus, respiratory syncytial virus, adenovirus, parainfluenza virus, chlamydia, and mycoplasma were detected by collecting body fluid (nasopharyngeal swabs and sputum) samples.",N,Respiratory,78,Co-infection,0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,Yes,Yes,7,moderate,Yes,,gamma globulin=14
From 1st review entered June 9 2021,"Wu C, 2020",JAMA,155,25/12/2019,13/02/2020,China,Asia,Retrospective Cohort,Hospital,201,,51,Median,73,All,84,67,53,,5,8,22,specified,culture,sputum culture,Y,Respiratory,148,Not-specified,0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,62,,196,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,7,moderate,Yes,,
From 1st review entered June 9 2021,"Zhou F, 2020",Lancet,325,29/12/2019,31/01/2020,China,Asia,Retrospective Cohort,Hospital,191,,56,Median,72,All,59,58,,11,6,15,36,specified,culture,pneumonia or bacteremia based on positive culture,Y,Respiratory and Blood,191,Secondary Infection,,28,No,,,,,,,,,,,,,,,,,,,,,,,,,57,,181,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,IVIG=46
"From 1st review entered June 8, 2021","Lian J, 2020",Clinical Infectious Diseases,359,17/01/2020,12/02/2020,China,Asia,Retrospective Cohort,Hospital,788,,45.8,Mean,381,All,58,18,22,54,3,11,57,unspecified,unspecified,,N,Unclear,788,Secondary Infection,,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,100,,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,4,high,Yes,,IVIG=62
From 1st review entered June 9 2021,"Wu J, 2020 (1)",Journal of Internal Medicine,405,20/01/2020,19/02/2020,China,Asia,Retrospective Cohort,Hospital,280,,43.12,Median,129,severe-critical,,84,83,,1,57,,specified,culture,"""Cultures for nine kinds of respiratory pathogens including viruses, and bacteria and fungi were conducted""",N,Respiratory,280,Co-infection,6,,No,,,,,,,,,,,,,,,,,,,,,,,,,100,,188,Yes,Yes,No or unclear,No or unclear,Yes,Yes,Yes,No or unclear,Yes,Yes,7,moderate,Yes,,
From 1st review entered June 9 2021,"Mo P, 2020",Clin Inf Dis,506,01/01/2020,05/02/2020,China,Asia,Retrospective Cohort,Hospital,155,,54,Median,69,All,,36,37,6,5,15,15,unspecified,unspecified,"""co-infection""",N,Respiratory,155,Co-infection,2,,Yes,2,,,,,,,,,,,,,,,,,,,,,,,,79,,,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,
From 1st review entered June 9 2021,"Yang X, 2020",Lancet Respir Med,600,"late Dec, 2019",26/01/2020,China,Asia,Retrospective Cohort,Hospital ICU,52,,59.7,Mean,17,Critically Ill,35,37,52,2,4,5,9,specified,culture,HAP and bacteremia,N,Respiratory and Blood,52,Secondary Infection,,7,Yes,,,,,,,1,2,,,,,,,,,1,,,,,,,Serratia=1,30,,49,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,Ig=28
"From 1st review entered June 8, 2021","Chen N, 2020",Lancet,651,01/01/2020,20/01/2020,China,Asia,Retrospective Cohort,Hospital,99,,55.5,mean,32,All combined,17,17,23,,,40,12,specified,culture,"sputum, endotracheal aspirates culture",N,Respiratory,99,Co-infection,1,,Yes,,,,,,,,1,,1,,,,,,,,,,,,,,Acinetobacter=1,19,,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,low,Yes,,IVIG=27
From 1st review entered June 9 2021,"Wang L, 2020",J Infect,694,01/01/2020,06/02/2020,China,Asia,Retrospective Cohort,Hospital,339,,71,Mean,173,All,71,,80,,21,53,54,unspecified,unspecified,"""complicated bacterial infection""",N,Unclear,339,Secondary Infection,,143,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,
"From 1st review entered June 8, 2021","Cai Q, 2020",Allergy,751,11/01/2020,06/03/2020,China,Asia,Retrospective Cohort,Hospital,298,,47.5,Median,153,All combined,,16,34,,,11,19,unspecified,unspecified,"The secondary bacterial infection was dened as no bacterial infection at the onset, but occurred after, or because of, primary virus infections, including the progress of the disease (natural progress or iatrogenic infection caused by medical intervention, etc), supported by clinical results and/or microbiological evidence.",N,Unclear,298,Secondary Infection,,30,No,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,
"From 1st review entered June 8, 2021","Feng Y, 2020",American Journal of Respiratory and Critical Care Medicine,1498,01/01/2020,15/02/2020,China,Asia,Retrospective Cohort,Hospital,476,,53,Median,205,All,,73,70,31,22,38,49,specified,culture,"BAL, bronchial aspirates and sputum",N,Respiratory,410,Secondary Infection,,35,No,,,,,,,,,,,,,,,,,,,,,,,,,127,,319,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,8,low,Yes,,
"From 1st review entered June 8, 2021","Chen T, 2020",The Journals of Gerontology,1524,01/01/2020,20/02/2020,China,Asia,Case series,Hospital,203,,54,Median,95,All,7,39,34,,8,16,16,unspecified,unspecified,"""co-infection""",N,Respiratory,203,Co-infection,2,,Yes,2,,,,,,,,,,,,,,,,,,,,,,,,107,,,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,4,high,Yes,,IG=11
01/08/2020 15:41,"Yu Y, 2020",Critical Care,2520,02/02/2020,27/02/2020,China,Asia,Prospective Cohort,Hospital ICU,226,Critically Ill,64,median,87,Critically Ill,161,105,226,,15,22,47,unspecified,unspecified,HAP=48,N,Respiratory and Blood,226,Secondary Infection,,48,Yes,,,1,,,,,6,2,19,1,,1,,,,,,,,,,,"CRAB=19,E cloacae=1,S. saprophyticus=1",37,,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,4,high,Y,,"29 = ""immunoglobulin"""
